customer_id,customer_segment,campaign_strategy
u12435,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u12436,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
u12437,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
u12438,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u12441,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
u12442,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u12444,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
u12445,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u12446,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u12447,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
u12448,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
u12449,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u1245,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
u12451,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
u12452,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u12453,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
u12455,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u12456,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u12457,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u12458,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u12461,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
u12462,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u12463,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u12464,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u12465,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u12468,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u12471,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
u12472,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u12473,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u12474,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
u12475,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u12476,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
u12477,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
u12478,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u12479,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u1248,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u12481,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
u12483,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
u12484,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u12488,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u12489,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
u1249,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
u12491,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u12492,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
u12493,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
u12494,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u12497,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u12498,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u125,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
u12501,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u12502,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u12504,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
u12506,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
u12507,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
u12508,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u12509,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
u1251,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
u12512,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
u12513,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
u12514,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
u12515,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
u12516,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u12517,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u12518,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
u12519,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
u1252,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u12521,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
u12522,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
u12523,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
u12524,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
u12526,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u12527,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u12528,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
u1253,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u12531,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u12532,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
u12534,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
u12535,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u12536,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u12538,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
u12539,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u1254,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
u12541,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u12544,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
u12545,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u12546,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u12547,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
u12548,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
u1255,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u12551,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
u12552,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
u12553,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
u12556,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u12557,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
u12559,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
u1256,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u12561,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
u12562,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
u12564,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
u12565,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
u12566,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
u12567,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
u12569,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
u12571,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u12572,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u12573,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
u12574,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
u12576,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u12577,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u12578,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u12579,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u1258,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
u12581,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
u12582,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
u12583,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
u12584,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
u12585,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u12586,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u12587,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u12588,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
u12589,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u1259,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u12591,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
u12592,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
u12593,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u12594,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u12596,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u12597,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
u12598,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
u12599,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u126,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u12601,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u12602,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
u12603,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u12604,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
u12605,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
u12609,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u1261,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
u12611,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u12612,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u12613,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u12614,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
u12615,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u12616,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u12617,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
u12618,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u12619,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
u1262,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u12621,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
u12622,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
u12623,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
u12624,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
u12625,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u12626,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
u12627,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
u12628,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u1263,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u12631,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u12633,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u12635,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u12637,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u12638,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u12639,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
u1264,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u12641,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
u12642,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u12643,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u12644,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
u12645,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u12646,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u12647,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
u12648,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
u12649,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u1265,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u12651,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
u12652,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
u12653,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u12654,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u12656,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
u12657,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u12658,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u12659,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
u1266,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u12662,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
u12664,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
u12665,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
u12666,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
u12667,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u12668,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
u12669,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u1267,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
u12672,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
u12673,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u12674,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
u12676,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u12678,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u12679,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u1268,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u12681,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
u12682,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
